repo name	repo url
apple-mfid-rcip	https://github.com/Trail-Tech/apple-mfid-rcip.git
audio-hal	https://github.com/Trail-Tech/audio-hal.git
audiomanager-rcip	https://github.com/Trail-Tech/audiomanager-rcip.git
backlightd	https://github.com/Trail-Tech/backlightd.git
bluetooth-connection-rcip	https://github.com/Trail-Tech/bluetooth-connection-rcip.git
bluetooth-message-rcip	https://github.com/Trail-Tech/bluetooth-message-rcip.git
bluetooth-phonebook-rcip	https://github.com/Trail-Tech/bluetooth-phonebook-rcip.git
bluetooth-telephony-rcip	https://github.com/Trail-Tech/bluetooth-telephony-rcip.git
bluez5	https://github.com/Trail-Tech/bluez.git
broadcom-bluetooth-firmware	https://github.com/Trail-Tech/bt-connection-service.git
c2b-fw	https://github.com/Trail-Tech/c2b-fw.git
common-projection-rcip	https://github.com/Trail-Tech/common-projection-rcip.git
cspi-plugin	https://github.com/Trail-Tech/libvehicle.git
cvcproxy	https://github.com/Trail-Tech/cvcproxy.git
engine-plugin	https://github.com/Trail-Tech/libvehicle.git
environment-plugin	https://github.com/Trail-Tech/libvehicle.git
epreload-plugin	https://github.com/Trail-Tech/libvehicle.git
gear-simulator	https://github.com/Trail-Tech/libvehicle.git
geodataservice	https://github.com/Trail-Tech/timezone-service.git
group-ride-library	https://github.com/Trail-Tech/GroupRide.git
group-ride-plugin	https://github.com/Trail-Tech/GroupRide.git
group-ride-service	https://github.com/Trail-Tech/GroupRide.git
hcm-tools	https://github.com/Trail-Tech/radio-complianced.git
janus	https://github.com/Trail-Tech/janus.git
lib-apple-commplugin	https://github.com/Trail-Tech/lib-apple-commplugin.git
libcvcproxy	https://github.com/Trail-Tech/cvcproxy.git
libdbuswrapper	https://github.com/Trail-Tech/libdbuswrapper.git
libdebuglogger	https://github.com/Trail-Tech/debuglogger.git
libmap-data	https://github.com/Trail-Tech/polaris-tiles.git
libmodemmanager	https://github.com/Trail-Tech/polaris-modemd.git
libpolaris-cvc	https://github.com/Trail-Tech/polaris-cvc.git
libpolaris-logger	https://github.com/Trail-Tech/polaris-user.git
libpolaris-user	https://github.com/Trail-Tech/polaris-user.git
libridecommandsync	https://github.com/Trail-Tech/GroupRide.git
libvehicle	https://github.com/Trail-Tech/libvehicle.git
libvehicle-adaptor	https://github.com/Trail-Tech/libvehicle.git
map-data-plugin	https://github.com/Trail-Tech/polaris-tiles.git
map-data-plugin-key	https://github.com/Trail-Tech/polaris-tiles.git
media-rcip	https://github.com/Trail-Tech/media-rcip.git
modemmanager-plugin	https://github.com/Trail-Tech/polaris-modemd.git
polaris-carplay-rcip	https://github.com/Trail-Tech/polaris-carplay-rcip.git
polaris-common-infra-rcip	https://github.com/Trail-Tech/polaris-common-infra-rcip.git
polaris-disks	https://github.com/Trail-Tech/polaris-disks.git
polaris-gps	https://github.com/Trail-Tech/polaris-gps.git
polaris-logger	https://github.com/Trail-Tech/polaris-libsnf.git
polaris-logger-plugin	https://github.com/Trail-Tech/polaris-tts.git
polaris-persistence	https://github.com/Trail-Tech/polaris-persistence.git
polaris-styles	https://github.com/Trail-Tech/polaris-tiles.git
polaris-thermald	https://github.com/Trail-Tech/polaris-thermald.git
polaris-tiles	https://github.com/Trail-Tech/polaris-tiles.git
polaris-tuner-rcip	https://github.com/Trail-Tech/polaris-tuner-rcip.git
polaris-user	https://github.com/Trail-Tech/polaris-user.git
polaris-user-config	https://github.com/Trail-Tech/polaris-user.git
polaris-user-plugin	https://github.com/Trail-Tech/polaris-user.git
polaris-vcard-parser	https://github.com/Trail-Tech/polaris-vcard-parser.git
polaris-video	https://github.com/Trail-Tech/polaris-video.git
pose-plugin	https://github.com/Trail-Tech/libvehicle.git
powermanagerd	https://github.com/Trail-Tech/powermanagerd.git
pulseaudio	https://github.com/Trail-Tech/pulseaudio.git
qmapboxgl	https://github.com/Trail-Tech/mapbox-gl-native.git
ridecommand-sync	https://github.com/Trail-Tech/GroupRide.git
ridecommandsync-plugin	https://github.com/Trail-Tech/GroupRide.git
security-plugin	https://github.com/Trail-Tech/libvehicle.git
sfi-linux-chardev-module	https://github.com/Trail-Tech/sfI-linux-chardev-rcip.git
speaker-hal	https://github.com/Trail-Tech/speaker-hal.git
system-info-library	https://github.com/Trail-Tech/polaris-utils.git
timezone-service	https://github.com/Trail-Tech/timezone-service.git
ubx	https://github.com/Trail-Tech/ubxfwupdate.git
ubxfwupdate	https://github.com/Trail-Tech/ubxfwupdate.git
variant-config-rcip	https://github.com/Trail-Tech/variant-config-rcip.git
vehicle-services-rcip	https://github.com/Trail-Tech/vehicle-services-rcip.git
venus-styles	https://github.com/Trail-Tech/venus-styles.git
vip-rcip	https://github.com/Trail-Tech/vip-rcip.git
vpro-vnc	https://github.com/Trail-Tech/vpro-vnc.git
winchctrl	https://github.com/Trail-Tech/winchctrld.git
